Program Name,State ,Fee,Stipend,Focus,Education,Eligibility,Application Deadline,,,
University of Nebraska - Lincoln Summer Research Program,NE,,"$5,000 - 6,000","This intensive summer research experience provides mentoring and research experiences while allowing scholars to preview graduate school life. Students with a strong interest in graduate programs are particularly encouraged to apply, as are those from populations traditionally underrepresented in graduate education.",Undergraduate College Level,"Participation in the Nebraska Summer Research Program is limited to students who meet the following criteria:
U.S. Citizen or Permanent Resident
Current undergraduate with at least one semester of coursework remaining before obtaining a bachelor's degree (E.g., students graduating in May are not eligible for the Summer Research Program for the summer in which they graduate.)
Each research program may have unique criteria or prerequisites, learn more by visiting the research programs pages.

Preference will be given to students based on these criteria:
Completion of advanced coursework related to the research area
Junior or senior standing with one year of remaining undergraduate coursework
Evidence of interest in pursuing an advanced degree (master's or Ph.D.)",2021 deadlines vary,,,
University of Nebraska Medical Center SURP,NE,no,,"The UNMC Summer Undergraduate Research Program (SURP) is a collaboration between UNMC departments, institutes, colleges, student services, and graduate specialty areas to provide summer opportunities for undergraduate students to become members of research teams and discover first-hand the broad spectrum of research activities occurring at UNMC. Each summer there are 80-100 positions available for talented undergraduate students mentored by awarded faculty. These full-time research positions are primarily in research laboratories where  students work with team members on an ongoing research project. SURP students attend weekly seminars provided by UNMC researchers to enhance their knowledge about research careers and the variety of research at UNMC. The laboratory experiences obtained by SURP students enhance their competitiveness for later admission to graduate programs at UNMC. ",Undergraduate College Level,"U.S. Citizen or permanent resident. 
Currently enrolled as a freshman, sophomore, junior or a December graduate in college.
graduated seniors will not be given consideration","February 15, 2021",,,
University of New Mexico School of Medicine: Undergraduate Pipeline Network Summer Research Experience,NM,no,"$5,000","The Undergraduate Pipeline Network summer research experience seeks to cultivate students' interest in research while helping them attain skills needed to apply for and succeed in post-baccalaureate education. The program provides the opportunity for students to choose from several areas of research at the University of New Mexico's Health Sciences Center.  The program period covers 10 weeks in the summer and scholars participate in the program a minimum of 40 hours per week.

The University of New Mexico Health Sciences Center is a cutting edge health research center with more than $145 million in grants each year and more than 20 current clinical trials. New Mexico is rich with scientific and technological capabilities, which allows our researchers to take advantage of nearby resources by combining regional scientific strengths into our programs. UNM faculty and students regularly collaborate with scientists from Sandia National Laboratories, Los Alamos National Laboratory, and Lovelace Respiratory Research Institute; and with scientists at New Mexico State University. 

Each scholar is mentored during the program by a faculty member. In addition, scholars will have regular contact with a graduate student, post-doctoral fellow, medical resident, clinical fellow, or research staff member during the entire period of their program.

Each scholar has a research project that provides the student with sufficient opportunity to demonstrate his/her ability to conduct independent research. Scholars will present their research project to the scientific community during the program’s competitive poster symposium.",Undergraduate College Level,"Have a minimum 3.0 GPA.
Be an enrolled undergraduate at the time of the program and a graduation date no earlier than the December following the program.
Currently attend a college or university in the United States.
Be a US Citizen or Permanent Resident (green card holder).","Feburary 1, 2021",,,
University of Oklahoma Health Sciences Center: Native American Center for Health Research Summer Undergraduate Research Experience,OK,no,"$6,000","The Graduate College at the OU Health Sciences Center hosts four summer undergraduate research programs aimed at preparing and encouraging undergraduate students to pursue careers in biomedical research or health related sciences. Studies show that undergraduate research programs are beneficial to the success of applying to and completion of a graduate degree program. Our programs introduce outstanding undergraduate students to the rigorous academic preparation required to achieve these goals, through participation in intensive, hands-on research experiences in the laboratories of OUHSC biomedical faculty mentors. ",Undergraduate College Level,"Must be a member of any Oklahoma Tribe; preference will be given to Cherokee, Chickasaw, Choctaw, Muscogee, and Seminole tribal members.
Have completed 2 years of undergraduate study at an institution in the United States and be currently enrolled in good standing. Record of high academic achievement in science course work and experience in laboratory research or health sciences is desired.
Two letters of recommendation from faculty mentors or instructors are required and should highlight the applicant’s achievements in course work and laboratory experiences, and include an evaluation of his or her desire for a biomedical research or health science related career.
A statement of career goals that includes a brief discussion of the applicant’s interest and future goals.","January 31, 2021",,,
University of Oklahoma Health Sciences Center: Summer Undergraduate Research Experience,OK,no,"$5,000","The Graduate College at the OU Health Sciences Center hosts four summer undergraduate research programs aimed at preparing and encouraging undergraduate students to pursue careers in biomedical research or health related sciences. Studies show that undergraduate research programs are beneficial to the success of applying to and completion of a graduate degree program. Our programs introduce outstanding undergraduate students to the rigorous academic preparation required to achieve these goals, through participation in intensive, hands-on research experiences in the laboratories of OUHSC biomedical faculty mentors. ",Undergraduate College Level," An undergraduate student who has completed over 60 credit hours.

 A United States citizen or permanent resident or have unrestricted employment authorization in accordance with applicable Immigration and Naturalization Service regulations (example: J-2 with Employment Authorization Document or F-1 with approval from your education institutes International Services Office). Applicants with an H-4 visa are NOT eligible. 

Willing and able to commit to the program’s entire eight-week time frame.

Scholars are selected based on aptitude and interest in science and math, academic standing, essays and recommendation letters written as part of the application process.","January 31, 2021",,,
University of Oklahoma Health Sciences Center: Stephenson Cancer Center Summer Undergraduate Program,OK,no,,"The  CURE Program offers students a chance to receive intensive hands-on training and experience in active research laboratories over an eight-week summer program. In addition, the scholars will also be a part of a journal club and many other exciting opportunities. 
At the conclusion of the program, students participate in a poster presentation to gain experience in organizing, interpreting, and discussing their research results.",Undergraduate College Level,"An undergraduate student who has completed between 60 and 100 credit hours.

A United States citizen or permanent resident or have unrestricted employment authorization in accordance with applicable Immigration and Naturalization Service regulations (example: J-2 with Employment Authorization Document or F-1 with approval from your education institutes International Services Office). Applicants with an H-4 visa are NOT eligible. 

Willing and able to commit to the program’s entire eight-week time frame, which begins May 20, 2019 and ends July 12, 2019.",Application dates for 2021 TBA,,,
University of Pennsylvania: Summer Undergraduate Internship Program (SUIP),PA,no,,"The SUIP provides an intense research experience to students interested in graduate study in the biomedical and biological sciences. The program has been in existence since 1993. Approximately 30 college students from across the US participate each year; most are rising juniors and seniors, but occasionally we admit a rising sophomore. Interns complete ten weeks of full-time laboratory research, attend state-of-the-art research seminars, receive career counseling from program faculty and administrators, and attend The Leadership Alliance National Symposium. The program seeks to encourage and prepare talented students to pursue careers in scholarly research.",Undergraduate College Level,"We encourage applications from students of all backgrounds, particularly those from underrepresented minority groups or disadvantaged backgrounds; with disabilities; or who attend small colleges. SUIP only accepts applications from U.S. citizens and permanent residents. We cannot accept applications from international students at this time. In addition, graduating seniors are not eligible to participate, and preference is given to applicants who will have completed their sophomore or junior year.",Application dates for 2021 TBA,,,
University of Pennsylvania: Undergraduate Clinical Scholars Program,PA,no,,"This is a 10 week rigorous summer research enrichment program starts the week of June 10, 2019.  The program is open to students from any accredited university in the United States and is designed specifically for undergraduate students with an interest in clinical/epidemiologic research, with an eventual goal of MD, PhD, or MD-PhD degrees.  Preference will be given to non-graduating college students.  At this time, we are not accepting graduate or post-baccalaureate students.

The 10 week program includes weekly didactic lectures and statistics workshops as well as a hands-on program-long research experience with an expert clinical investigator.  Weekly lectures and workshops will provide an introduction to epidemiologic and biostatistical topics, and will be paired with small group discussions or workshops to reinforce content presented in lectures.  Additional lectures will include topics on practical aspects of clinical research including as well human subjects and research ethics, writing abstracts and scientific manuscripts, and admissions to graduate programs.",Undergraduate College Level,,"January 8, 2021",,,
Columbia University: Summer Public Health Scholars Program (SPHSP),NY,no,yes,"This is an 8 week summer mentorship program beginnig May 8, 2019 for juniors, seniors and recent bachelors degree graduates to learn about the public health field. This program will include public health coursework, hands on experience within various public health settings, field trips to different public health facilities within urban new york, and seminars plus lectures from various public health leaders. ",Undergraduate College Level,"U.S. Citizen, Permanent Resident, or U.S. National","January 31, 2021",,,
Feinstein Summer Research Internship Program,,,"All accepted students will receive a stipend of $2,000 to offset living expenses and travel during the duration of the program.",https://redcap.northwell.edu/surveys/?s=KFHCP9TK9J,,,"March 1, 2021, at 11:59pm EST.",ehristis@northwell.edu,,
NASA Spring Internships Stem,,,,,,,"March 5, 2021",,,
NASA Spring Internships Pathways,,,,,,,,,,
2021 Summer Student Worker Program-Pfizer,,,,http://host.pcrecruiter.net/pcrbin/jobboard.aspx?uid=pfizer.atriumstaffing&src=GBC,,,,,,
